1691279918.1620388 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front OCCL OCCL OCCL OCCL OCCL OCCL OCCL
1691279918.1828785 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.0336379179523 197.91591581479651 341.94778936544299 0.00055840355491432907 0.025938731997419789 -0.067149389338314949 0.99740554935258274
1691279918.2029443 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1942.9558249299034 197.93675855777258 341.89466758639355 0.00069846433695065888 0.02585126544361575 -0.067059337462352084 0.99741379050103585
1691279918.2226138 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.0793117132123 197.91417486908941 341.97745358545927 0.00054934837604911401 0.025965101484589467 -0.067132746464564366 0.99740598858909069
1691279918.2436829 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.0715081885708 197.92156659476734 341.98772051380075 0.00047637127886855196 0.02597447367061961 -0.067146182442772831 0.99740487765565933
1691279918.2635491 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.0416990729796 197.92199826800484 341.95983595365385 0.00059102850182547468 0.025914130706697396 -0.067081276977816851 0.99741075329778339
1691279918.2841084 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.0100515788067 197.92462857386226 341.93691519563635 0.00047843877590529377 0.025938839211521392 -0.06715711447828232 0.99740506800980688
1691279918.3051074 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.0735718317758 197.91843043002459 341.99867249500221 0.00061428010511354486 0.025891922647809353 -0.067096068481502763 0.99741032107948324
1691279918.3252504 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.1089203767722 197.93104263846334 342.03684442407632 0.00050723122811908571 0.025931356161990483 -0.067136280446060723 0.99740665093629144
1691279918.3457453 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.0643384952725 197.92644216013892 342.00176304150398 0.00061499407224048443 0.025879697393487732 -0.067071442979306353 0.99741229418018817
1691279918.3664947 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.0135301942003 197.93252586883332 341.94655789499001 0.00064357574512754253 0.025906109684250681 -0.067089081663582142 0.99741040420321725
1691279918.3863871 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.0717580564874 197.92049967848757 342.00545543425716 0.00055373582647380527 0.02595273050475572 -0.067102154095371111 0.99740836675443179
1691279918.4068401 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.0562325044059 197.91789758068512 341.98725666145555 0.00051375023353276029 0.025946681077582252 -0.067142408451651925 0.99740583655253756
1691279918.4276123 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.1075610529335 197.91923970239915 342.04383090727396 0.0005739265397274937 0.025938495592943905 -0.067084952132435247 0.99740988277241904
1691279918.4473946 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.0614355049231 197.91153885394792 341.97730593802765 0.00065425166635340259 0.025900310848062415 -0.06706156250702211 0.99741239850266927
1691279918.468519 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.0312233253014 197.91080251954892 341.96175529807061 0.0006586336615099313 0.025894820937479354 -0.067081902142485592 0.99741117040830352
1691279918.4888334 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.0308477513629 197.92070069807039 341.97368702873393 0.00065401567155790139 0.025887600621372873 -0.067112244172011601 0.99740931972774649
1691279918.508301 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.0962806449559 197.9247603835627 342.03380867865184 0.00061090032244678547 0.02591497028089914 -0.067061017625389352 0.99741208185543018
1691279918.5293152 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.0275705675658 197.93489519861345 341.95972871964557 0.00069916568058038292 0.025959199078480509 -0.066980328572851217 0.99741629560320899
1691279918.5500209 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.1224573758138 197.91405323994053 342.02682048379222 0.00048477675947246964 0.025919963540011727 -0.067123784012042206 0.99740779929850298
1691279918.5700266 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.0903876907557 197.91788326800685 342.02502502986562 0.00058459696123113174 0.025910392931052382 -0.067070217635815776 0.99741159793278711
1691279918.5894537 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.1123591170233 197.91111297673621 342.02240251152102 0.00055468982469682854 0.025954488769956614 -0.067069611103240223 0.99741050931817876
1691279918.6095014 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.1632023847021 197.91942707766651 342.03463294692472 0.00052272986839588752 0.025980592292766558 -0.067078280819021785 0.99740926395335139
1691279918.6300931 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.1224223962558 197.91330397099651 342.01472308850947 0.00056287419743344025 0.025930259328811048 -0.067116699522474829 0.99740796741804127
1691279918.6501093 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.1132432647462 197.92523173332947 342.00650002824835 0.0005738790387308831 0.025951106608134166 -0.067089510119905882 0.99740924818277743
1691279918.6713092 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.1535329141116 197.92073499342618 342.02509408856855 0.00054687218656236712 0.026001634523270506 -0.067093983128634779 0.99740764653218117
1691279918.6911066 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.1653886604979 197.91677593495902 342.03914144508764 0.00044085802834522767 0.025956847293911733 -0.067105656966760477 0.99740808023888539
1691279918.7121391 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.1686390884527 197.91659648166703 342.05001921109351 0.00053869285301446376 0.025933972609378388 -0.067121208896573442 0.99740758077676983
1691279918.7329075 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.1195581572124 197.9149164411289 341.99774360800967 0.00061145188768407582 0.025895217316806163 -0.067084090697256724 0.99741104296174043
1691279918.7523465 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.1286608096743 197.92218707187072 342.00190964448683 0.00063177424306620484 0.025919571173285853 -0.067030700857679273 0.99741398718587615
1691279918.7721977 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.169785999115 197.92352876504839 342.04178678109946 0.00058636207980807431 0.02593086558215283 -0.067077282668420363 0.99741058974701713
1691279918.7925837 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.0976912160975 197.92346678574137 341.99069299245923 0.00067224476309299202 0.025909162433227446 -0.067064146340695185 0.99741198291607713
1691279918.8125491 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.0234557339058 197.92711965951125 341.92142210122273 0.00063818236876816807 0.025850896780897286 -0.067078864968415808 0.99741252735938535
1691279918.8325188 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.0102052835664 197.94443984600278 341.90192320229687 0.00064111896835081868 0.025882873131962442 -0.067077394592145262 0.9974117950874819
1691279918.8532913 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.1153510638444 197.91363671511542 342.00386487645949 0.00058596364931928627 0.025949531465779684 -0.067078663738493124 0.99741001164734977
1691279918.8733647 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.0646062064332 197.92729016644992 341.94540423711749 0.00070802309059989142 0.02589147648966577 -0.067053558687606721 0.99741312925778958
1691279918.8940699 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.0830467021863 197.92117887102467 341.97508454276175 0.00068008154675583442 0.025922758956229437 -0.067043691976520423 0.99741299942568651
1691279918.9144976 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.0688996227111 197.9187182569886 341.95872700303494 0.00062897579884960933 0.025958898933092216 -0.067058698391820687 0.99741108422035341
1691279918.9345498 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.0889080111513 197.91759660289867 341.96862571173455 0.00055802210129797872 0.026049020697219517 -0.067078083404512559 0.99740747333215207
1691279918.9549468 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.1897195345318 197.9192850361668 342.0415080072226 0.00065125929108565369 0.025912630078216398 -0.067017576967543499 0.99741503690347721
1691279918.9756169 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.1560582602442 197.92425424335914 342.00121541304895 0.00057624049291510207 0.02593346056971747 -0.067078712598600154 0.99741043201176094
1691279918.9954565 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.0533219408267 197.93010556424386 341.93343932703732 0.00064736769692037019 0.025948621620431836 -0.067078635616341489 0.99740999924550322
1691279919.0167284 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.1801173671697 197.92174272443296 342.03554685222889 0.00057482043626401859 0.025942193194029205 -0.067057757330629575 0.9974116148188451
1691279919.0371537 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.1719577806339 197.91921058903736 342.02281208961472 0.00052722294524991506 0.026028677495260368 -0.067096876838645625 0.99740675709677917
1691279919.056406 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.2202654290311 197.92049309384132 342.06332399039428 0.00058632263898196718 0.02595344891085611 -0.067055051144039327 0.99741149724246958
1691279919.076978 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.1940422934483 197.92460827784973 342.04557820032551 0.00060347754618388138 0.025949161342994721 -0.067067938329265372 0.99741073209019981
1691279919.0978405 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.2682867912313 197.90961105032875 342.08944353453063 0.00057431722246369262 0.025979047407227295 -0.067104187463119983 0.99740753319816844
1691279919.1180952 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.3798576851011 197.94667552008499 342.20912601642971 0.00067360078925784777 0.025554946973383872 -0.067144504283804501 0.99741571397870332
1691279919.138649 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.1829212813138 197.92704989382614 342.06147013192481 0.00057369611446363036 0.025957463032257377 -0.067034265195401482 0.99741279732887422
1691279919.1592824 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.1403988060808 197.92421173054277 342.01966624078608 0.00055785877217006622 0.026019137334780673 -0.067094275674578888 0.9974071643304192
1691279919.1792266 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.4902476156192 197.90311066062526 342.30657767496604 0.00093957581817045717 0.025662003390110617 -0.066938671832946925 0.99742658526456418
1691279919.199666 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.1559573502161 197.92323102471994 342.05682494072522 0.000567361365507705 0.026022695384721954 -0.067046826339459922 0.99741025686715357
1691279919.2204936 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.1521840979742 197.92787752296024 342.02672056286968 0.00053955569394773049 0.026004268363666788 -0.067099857490705767 0.99740718667515649
1691279919.2401662 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.2378178771955 197.92032090729546 342.08390720102904 0.00060368700239918653 0.025994236338851649 -0.06703936122034658 0.99741147942377872
1691279919.2608252 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.4272608070837 197.92142711875132 342.25667887070296 0.00092561763666676033 0.025663330783114599 -0.066966295682113736 0.99742470990432297
1691279919.2812834 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.2667845864319 197.9263357516808 342.10676325732817 0.00056414346872556479 0.025933667707697908 -0.067071906858045871 0.99741089122377202
1691279919.3006756 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.1278640249452 197.92793045811993 342.02469501639735 0.00068915872266111318 0.025903170253411299 -0.067032608296418689 0.99741424706891801
1691279919.3206623 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.1792865877314 197.92482230154673 342.06132492775811 0.00056733628975308198 0.025973790270973768 -0.067050060194922115 0.99741131424119667
1691279919.3407788 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.0532468525801 197.93937945627854 341.96873374519913 0.00066173355374168398 0.025955400458994159 -0.067051622884401835 0.99741162975187192
1691279919.3610175 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.3222383866407 197.93816776403412 342.26620502762432 0.00075349463268498855 0.025555876953489411 -0.067140500894957544 0.99741590248930301
1691279919.3820908 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.123692033402 197.93253145750506 342.08962815093815 0.00056890416843219816 0.025882212186290523 -0.067053626603159805 0.99741345419026461
1691279919.4028425 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.1012985931807 197.93318813703482 342.06076936402667 0.00059483463299418433 0.025925019452349235 -0.06707273667259353 0.99741104241601597
1691279919.4222569 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.0407882095851 197.9473221244497 342.00500723132876 0.00076930256218156457 0.02586896051683843 -0.067007369029423697 0.9974167722427274
1691279919.4424784 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.1152063247578 197.92770657264708 342.05685005027988 0.00060675832163592438 0.02589496619545946 -0.067016711471399523 0.99741558186827739
1691279919.4630466 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.097522585937 197.92856899722105 342.07472919336357 0.00064608733040584098 0.025882689644342975 -0.067005766125760272 0.99741661117801528
1691279919.4840682 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.0842984927501 197.9266594372163 342.05761090515443 0.00056812353205203722 0.025930041447159095 -0.067090224666177284 0.9974097512759954
1691279919.5042677 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1942.9402394974038 197.94889824826768 341.9243367854283 0.00074568865544937229 0.025883318277171559 -0.06698332139114066 0.99741803294245834
1691279919.5248246 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.0309938817652 197.9450673099129 341.98173376379447 0.00064574281840345886 0.025853981804472681 -0.067062749296276786 0.99741352622565294
1691279919.5454514 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.0867358241655 197.91989357599002 342.05141421255087 0.00058694772712658972 0.025917857733499704 -0.067070219805397596 0.99741140246045279
1691279919.5647748 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1942.9782708187563 197.93091955122665 341.9726515855117 0.00061609913985723392 0.025825079005355071 -0.0670858807823973 0.99741273819611265
1691279919.5859046 asterix_back OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_front -1943.0190783435423 197.93419306043955 341.98728484595063 0.00062624456041686588 0.025960861722958396 -0.067061895170884483 0.997410819919476
